ts_recorded_data,ts_unix_recorded_data,ts_weather,ts_unix_weather,rain_mm,temp_c
2019-08-13 16:46:19,1565714779,2019-08-13 16:00:00,1565712000,0.1843,15.69
2019-08-13 16:46:19,1565714779,2019-08-13 17:00:00,1565715600,0.2447,15.28
2019-08-13 16:46:19,1565714779,2019-08-13 18:00:00,1565719200,0.2811,15.22
2019-08-13 16:46:19,1565714779,2019-08-13 19:00:00,1565722800,0.2571,15.81
2019-08-13 16:46:19,1565714779,2019-08-13 20:00:00,1565726400,0.2136,16.07
2019-08-13 16:46:19,1565714779,2019-08-13 21:00:00,1565730000,0.1717,15.65
2019-08-13 16:46:19,1565714779,2019-08-13 22:00:00,1565733600,0.1105,15.3
2019-08-13 16:46:19,1565714779,2019-08-13 23:00:00,1565737200,0.0765,15.13
2019-08-13 16:46:19,1565714779,2019-08-14 00:00:00,1565740800,0.0766,15.04
2019-08-13 16:46:19,1565714779,2019-08-14 01:00:00,1565744400,0.075,15.02
2019-08-13 16:46:19,1565714779,2019-08-14 02:00:00,1565748000,0.1454,14.9
2019-08-13 16:46:19,1565714779,2019-08-14 03:00:00,1565751600,0.2606,14.89
2019-08-13 16:46:19,1565714779,2019-08-14 04:00:00,1565755200,0.3281,14.91
2019-08-13 16:46:19,1565714779,2019-08-14 05:00:00,1565758800,0.3695,14.75
2019-08-13 16:46:19,1565714779,2019-08-14 06:00:00,1565762400,0.359,14.73
2019-08-13 16:46:19,1565714779,2019-08-14 07:00:00,1565766000,0.265,15
2019-08-13 16:46:19,1565714779,2019-08-14 08:00:00,1565769600,0.2001,15.27
2019-08-13 16:46:19,1565714779,2019-08-14 09:00:00,1565773200,0.1906,15.78
2019-08-13 16:46:19,1565714779,2019-08-14 10:00:00,1565776800,0.1203,16.48
2019-08-13 16:46:19,1565714779,2019-08-14 11:00:00,1565780400,0.0574,17.53
2019-08-13 16:46:19,1565714779,2019-08-14 12:00:00,1565784000,0.0546,18.39
2019-08-13 16:46:19,1565714779,2019-08-14 13:00:00,1565787600,0.1161,19.75
2019-08-13 16:46:19,1565714779,2019-08-14 14:00:00,1565791200,0.3245,20.97
2019-08-13 16:46:19,1565714779,2019-08-14 15:00:00,1565794800,0.5233,21.82
2019-08-13 16:46:19,1565714779,2019-08-14 16:00:00,1565798400,0.4982,21.61
2019-08-13 16:46:19,1565714779,2019-08-14 17:00:00,1565802000,0.4214,20.76
2019-08-13 16:46:19,1565714779,2019-08-14 18:00:00,1565805600,0.3551,19.7
2019-08-13 16:46:19,1565714779,2019-08-14 19:00:00,1565809200,0.2079,18.6
2019-08-13 16:46:19,1565714779,2019-08-14 20:00:00,1565812800,0.0719,17.38
2019-08-13 16:46:19,1565714779,2019-08-14 21:00:00,1565816400,0.0286,16.54
2019-08-13 16:46:19,1565714779,2019-08-14 22:00:00,1565820000,0.0216,16
2019-08-13 16:46:19,1565714779,2019-08-14 23:00:00,1565823600,0.0209,15.79
2019-08-13 16:46:19,1565714779,2019-08-15 00:00:00,1565827200,0.0212,15.67
2019-08-13 16:46:19,1565714779,2019-08-15 01:00:00,1565830800,0.0189,15.64
2019-08-13 16:46:19,1565714779,2019-08-15 02:00:00,1565834400,0.0199,15.48
2019-08-13 16:46:19,1565714779,2019-08-15 03:00:00,1565838000,0.023,15.35
2019-08-13 16:46:19,1565714779,2019-08-15 04:00:00,1565841600,0.0274,15.02
2019-08-13 16:46:19,1565714779,2019-08-15 05:00:00,1565845200,0.0372,14.4
2019-08-13 16:46:19,1565714779,2019-08-15 06:00:00,1565848800,0.0409,14.13
2019-08-13 16:46:19,1565714779,2019-08-15 07:00:00,1565852400,0.0287,14.42
2019-08-13 16:46:19,1565714779,2019-08-15 08:00:00,1565856000,0.0308,14.88
2019-08-13 16:46:19,1565714779,2019-08-15 09:00:00,1565859600,0.0454,15.65
2019-08-13 16:46:19,1565714779,2019-08-15 10:00:00,1565863200,0.0433,16.47
2019-08-13 16:46:19,1565714779,2019-08-15 11:00:00,1565866800,0.0341,17.2
2019-08-13 16:46:19,1565714779,2019-08-15 12:00:00,1565870400,0.0285,17.83
2019-08-13 16:46:19,1565714779,2019-08-15 13:00:00,1565874000,0.0221,18.3
2019-08-13 16:46:19,1565714779,2019-08-15 14:00:00,1565877600,0.0182,19.28
2019-08-13 16:46:19,1565714779,2019-08-15 15:00:00,1565881200,0.0172,20.27
2019-08-13 16:46:19,1565714779,2019-08-15 16:00:00,1565884800,0.0121,20.96
2019-08-13 16:46:19,1565714779,2019-08-15 17:00:00,1565888400,0.0094,20.74
2019-08-13 16:46:19,1565714779,2019-08-15 18:00:00,1565892000,0.0101,20.26
2019-08-13 16:46:19,1565714779,2019-08-15 19:00:00,1565895600,0.009,18.89
2019-08-13 16:46:19,1565714779,2019-08-15 20:00:00,1565899200,0.0066,17.71
2019-08-13 16:46:19,1565714779,2019-08-15 21:00:00,1565902800,0.0062,16.67
2019-08-13 16:46:19,1565714779,2019-08-15 22:00:00,1565906400,0,16.01
2019-08-13 16:46:19,1565714779,2019-08-15 23:00:00,1565910000,0,15.68
2019-08-13 16:46:19,1565714779,2019-08-16 00:00:00,1565913600,0,15.57
2019-08-13 16:46:19,1565714779,2019-08-16 01:00:00,1565917200,0.009,15.7
2019-08-13 16:46:19,1565714779,2019-08-16 02:00:00,1565920800,0.0194,15.84
2019-08-13 16:46:19,1565714779,2019-08-16 03:00:00,1565924400,0.0397,15.89
2019-08-13 16:46:19,1565714779,2019-08-16 04:00:00,1565928000,0.1336,15.9
2019-08-13 16:46:19,1565714779,2019-08-16 05:00:00,1565931600,0.4105,15.68
2019-08-13 16:46:19,1565714779,2019-08-16 06:00:00,1565935200,0.6824,15.68
2019-08-13 16:46:19,1565714779,2019-08-16 07:00:00,1565938800,0.6743,15.91
2019-08-13 16:46:19,1565714779,2019-08-16 08:00:00,1565942400,0.5598,16.26
2019-08-13 16:46:19,1565714779,2019-08-16 09:00:00,1565946000,0.4644,16.73
2019-08-13 16:46:19,1565714779,2019-08-16 10:00:00,1565949600,0.3432,17.2
2019-08-13 16:46:19,1565714779,2019-08-16 11:00:00,1565953200,0.2892,17.79
2019-08-13 16:46:19,1565714779,2019-08-16 12:00:00,1565956800,0.3,18.41
2019-08-13 16:46:19,1565714779,2019-08-16 13:00:00,1565960400,0.2504,19.6
2019-08-13 16:46:19,1565714779,2019-08-16 14:00:00,1565964000,0.2108,20.83
2019-08-13 16:46:19,1565714779,2019-08-16 15:00:00,1565967600,0.1944,21.74
2019-08-13 16:46:19,1565714779,2019-08-16 16:00:00,1565971200,0.1231,21.9
2019-08-13 16:46:19,1565714779,2019-08-16 17:00:00,1565974800,0.0517,21.37
2019-08-13 16:46:19,1565714779,2019-08-16 18:00:00,1565978400,0.0249,20.43
2019-08-13 16:46:19,1565714779,2019-08-16 19:00:00,1565982000,0.0245,19.32
2019-08-13 16:46:19,1565714779,2019-08-16 20:00:00,1565985600,0.036,17.99
2019-08-13 16:46:19,1565714779,2019-08-16 21:00:00,1565989200,0.0449,16.83
2019-08-13 16:46:19,1565714779,2019-08-16 22:00:00,1565992800,0.0322,15.91
2019-08-13 16:46:19,1565714779,2019-08-16 23:00:00,1565996400,0.0197,15.32
2019-08-13 16:46:19,1565714779,2019-08-17 00:00:00,1566000000,0.0149,14.94
2019-08-13 16:46:19,1565714779,2019-08-17 01:00:00,1566003600,0.0163,14.67
2019-08-13 16:46:19,1565714779,2019-08-17 02:00:00,1566007200,0.0152,14.65
2019-08-13 16:46:19,1565714779,2019-08-17 03:00:00,1566010800,0.0164,14.59
2019-08-13 16:46:19,1565714779,2019-08-17 04:00:00,1566014400,0.0093,14.15
2019-08-13 16:46:19,1565714779,2019-08-17 05:00:00,1566018000,0,13.53
2019-08-13 16:46:19,1565714779,2019-08-17 06:00:00,1566021600,0,13.3
2019-08-13 16:46:19,1565714779,2019-08-17 07:00:00,1566025200,0,13.84
2019-08-13 16:46:19,1565714779,2019-08-17 08:00:00,1566028800,0.0063,14.63
2019-08-13 16:46:19,1565714779,2019-08-17 09:00:00,1566032400,0.0109,15.44
2019-08-13 16:46:19,1565714779,2019-08-17 10:00:00,1566036000,0.0297,15.99
2019-08-13 16:46:19,1565714779,2019-08-17 11:00:00,1566039600,0.1058,16.59
2019-08-13 16:46:19,1565714779,2019-08-17 12:00:00,1566043200,0.1814,16.79
2019-08-13 16:46:19,1565714779,2019-08-17 13:00:00,1566046800,0.1498,17.74
2019-08-13 16:46:19,1565714779,2019-08-17 14:00:00,1566050400,0.0806,18.57
2019-08-13 16:46:19,1565714779,2019-08-17 15:00:00,1566054000,0.0415,19.15
