destination,latitude,longitude,origin,prognumber,route,stopid,SEGMENT
Sandymount (St. John's Church),53.39114056,-6.262200464,Santry (Shanard Rd.),1,1,226,start
Sandymount (St. John's Church),53.39184365,-6.25987131,Santry (Shanard Rd.),2,1,228,226_228
Sandymount (St. John's Church),53.39139952,-6.256536433,Santry (Shanard Rd.),3,1,229,228_229
Sandymount (St. John's Church),53.39114381,-6.251344506000001,Santry (Shanard Rd.),4,1,227,229_227
Sandymount (St. John's Church),53.38988802,-6.249065507999999,Santry (Shanard Rd.),5,1,230,227_230
Sandymount (St. John's Church),53.38924008,-6.245949764,Santry (Shanard Rd.),6,1,231,230_231
Sandymount (St. John's Church),53.38652728,-6.242392966000001,Santry (Shanard Rd.),7,1,1641,231_1641
Sandymount (St. John's Church),53.38400179,-6.243624504,Santry (Shanard Rd.),8,1,1642,1641_1642
Sandymount (St. John's Church),53.38153105,-6.244913767999999,Santry (Shanard Rd.),9,1,213,1642_213
Sandymount (St. John's Church),53.37940848,-6.246654552000001,Santry (Shanard Rd.),10,1,214,213_214
Sandymount (St. John's Church),53.37720747,-6.248563719,Santry (Shanard Rd.),11,1,4432,214_4432
Sandymount (St. John's Church),53.37519048,-6.250765745,Santry (Shanard Rd.),12,1,119,4432_119
Sandymount (St. John's Church),53.37301741,-6.252132303,Santry (Shanard Rd.),13,1,44,119_44
Sandymount (St. John's Church),53.37157673,-6.253183204,Santry (Shanard Rd.),14,1,7603,44_7603
Sandymount (St. John's Church),53.36999011,-6.254089717,Santry (Shanard Rd.),15,1,45,7603_45
Sandymount (St. John's Church),53.36715074,-6.2553779689999995,Santry (Shanard Rd.),16,1,46,45_46
Sandymount (St. John's Church),53.36391612,-6.257298257,Santry (Shanard Rd.),17,1,47,46_47
Sandymount (St. John's Church),53.36232903,-6.258790465,Santry (Shanard Rd.),18,1,48,47_48
Sandymount (St. John's Church),53.36003184,-6.260897458,Santry (Shanard Rd.),19,1,49,48_49
Sandymount (St. John's Church),53.35798985,-6.263249251,Santry (Shanard Rd.),20,1,51,49_51
Sandymount (St. John's Church),53.35679465,-6.2644997479999995,Santry (Shanard Rd.),21,1,52,51_52
Sandymount (St. John's Church),53.35336157,-6.262055381000001,Santry (Shanard Rd.),22,1,265,52_265
Sandymount (St. John's Church),53.34859636,-6.25948542,Santry (Shanard Rd.),23,1,271,265_271
Sandymount (St. John's Church),53.34601281,-6.256136099,Santry (Shanard Rd.),24,1,340,271_340
Sandymount (St. John's Church),53.34563194,-6.24976825,Santry (Shanard Rd.),25,1,350,340_350
Sandymount (St. John's Church),53.34337247,-6.245249979,Santry (Shanard Rd.),26,1,351,350_351
Sandymount (St. John's Church),53.34298915,-6.24241214,Santry (Shanard Rd.),27,1,352,351_352
Sandymount (St. John's Church),53.34261585,-6.239649032000001,Santry (Shanard Rd.),28,1,353,352_353
Sandymount (St. John's Church),53.34222008,-6.236586526,Santry (Shanard Rd.),29,1,354,353_354
Sandymount (St. John's Church),53.34176145,-6.232925936,Santry (Shanard Rd.),30,1,355,354_355
Sandymount (St. John's Church),53.34190302,-6.226717442999999,Santry (Shanard Rd.),31,1,356,355_356
Sandymount (St. John's Church),53.33917104,-6.223121475,Santry (Shanard Rd.),32,1,357,356_357
Sandymount (St. John's Church),53.33770222,-6.222266506,Santry (Shanard Rd.),33,1,390,357_390
Sandymount (St. John's Church),53.33542348,-6.219538235,Santry (Shanard Rd.),34,1,372,390_372
Sandymount (St. John's Church),53.33427533,-6.217889273,Santry (Shanard Rd.),35,1,373,372_373
Sandymount (St. John's Church),53.33316623,-6.2164489839999995,Santry (Shanard Rd.),36,1,374,373_374
Sandymount (St. John's Church),53.33406113,-6.214384513,Santry (Shanard Rd.),37,1,375,374_375
Sandymount (St. John's Church),53.33233124,-6.210507787999999,Santry (Shanard Rd.),38,1,2804,375_2804
Sandymount (St. John's Church),53.33071253,-6.209254265,Santry (Shanard Rd.),39,1,376,2804_376
Sandymount (St. John's Church),53.32872893,-6.208841895,Santry (Shanard Rd.),40,1,377,376_377
Sandymount (St. John's Church),53.32565029,-6.207334472,Santry (Shanard Rd.),41,1,378,377_378
Sandymount (St. John's Church),53.32472609,-6.209234772,Santry (Shanard Rd.),42,1,380,378_380
Santry (Shanard Rd.),53.32420587,-6.212304061,Sandymount (St. John's Church),1,1,381,start
Santry (Shanard Rd.),53.32509766,-6.207642882999999,Sandymount (St. John's Church),2,1,382,381_382
Santry (Shanard Rd.),53.32593416,-6.20768288,Sandymount (St. John's Church),3,1,4451,382_4451
Santry (Shanard Rd.),53.32854142,-6.208924821,Sandymount (St. John's Church),4,1,383,4451_383
Santry (Shanard Rd.),53.33163395,-6.210161605,Sandymount (St. John's Church),5,1,384,383_384
Santry (Shanard Rd.),53.33235102,-6.211227687999999,Sandymount (St. John's Church),6,1,385,384_385
Santry (Shanard Rd.),53.33249951,-6.215741058,Sandymount (St. John's Church),7,1,387,385_387
Santry (Shanard Rd.),53.33450886,-6.218480173,Sandymount (St. John's Church),8,1,388,387_388
Santry (Shanard Rd.),53.33529008,-6.219633889,Sandymount (St. John's Church),9,1,389,388_389
Santry (Shanard Rd.),53.33690389,-6.2223747970000005,Sandymount (St. John's Church),10,1,393,389_393
Santry (Shanard Rd.),53.33861278,-6.223054583,Sandymount (St. John's Church),11,1,371,393_371
Santry (Shanard Rd.),53.33999222,-6.2239433470000005,Sandymount (St. John's Church),12,1,391,371_391
Santry (Shanard Rd.),53.34173363,-6.2274153210000005,Sandymount (St. John's Church),13,1,392,391_392
Santry (Shanard Rd.),53.34194005,-6.235276454,Sandymount (St. John's Church),14,1,395,392_395
Santry (Shanard Rd.),53.34246159,-6.239550256,Sandymount (St. John's Church),15,1,396,395_396
Santry (Shanard Rd.),53.34278556,-6.242015007000001,Sandymount (St. John's Church),16,1,397,396_397
Santry (Shanard Rd.),53.34329494,-6.245478447000001,Sandymount (St. John's Church),17,1,398,397_398
Santry (Shanard Rd.),53.34386462,-6.2481585,Sandymount (St. John's Church),18,1,399,398_399
Santry (Shanard Rd.),53.34475116,-6.252838258,Sandymount (St. John's Church),19,1,400,399_400
Santry (Shanard Rd.),53.34596901,-6.259292057000001,Sandymount (St. John's Church),20,1,319,400_319
Santry (Shanard Rd.),53.35135317,-6.261160681000001,Sandymount (St. John's Church),21,1,278,319_278
Santry (Shanard Rd.),53.3533921,-6.2653891239999995,Sandymount (St. John's Church),22,1,10,278_10
Santry (Shanard Rd.),53.35680494,-6.264589471,Sandymount (St. John's Church),23,1,12,10_12
Santry (Shanard Rd.),53.35853124,-6.262776506,Sandymount (St. John's Church),24,1,14,12_14
Santry (Shanard Rd.),53.36008858,-6.26109047,Sandymount (St. John's Church),25,1,15,14_15
Santry (Shanard Rd.),53.36291707,-6.258435917000001,Sandymount (St. John's Church),26,1,17,15_17
Santry (Shanard Rd.),53.36585593,-6.255956821,Sandymount (St. John's Church),27,1,18,17_18
Santry (Shanard Rd.),53.36714373,-6.255513501,Sandymount (St. John's Church),28,1,19,18_19
Santry (Shanard Rd.),53.3701012,-6.254310599,Sandymount (St. John's Church),29,1,21,19_21
Santry (Shanard Rd.),53.37171235,-6.25323777,Sandymount (St. John's Church),30,1,7602,21_7602
Santry (Shanard Rd.),53.37366152,-6.25192557,Sandymount (St. John's Church),31,1,85,7602_85
Santry (Shanard Rd.),53.37639279,-6.250010027999999,Sandymount (St. John's Church),32,1,203,85_203
Santry (Shanard Rd.),53.37958836,-6.246662193,Sandymount (St. John's Church),33,1,204,203_204
Santry (Shanard Rd.),53.38137533,-6.245326047000001,Sandymount (St. John's Church),34,1,205,204_205
Santry (Shanard Rd.),53.38326352,-6.244150984,Sandymount (St. John's Church),35,1,1620,205_1620
Santry (Shanard Rd.),53.38794054,-6.244980841,Sandymount (St. John's Church),36,1,220,1620_220
Santry (Shanard Rd.),53.3897213,-6.246892234,Sandymount (St. John's Church),37,1,221,220_221
Santry (Shanard Rd.),53.38994545,-6.249303717,Sandymount (St. John's Church),38,1,222,221_222
Santry (Shanard Rd.),53.39106235,-6.251919204,Sandymount (St. John's Church),39,1,223,222_223
Santry (Shanard Rd.),53.39083484,-6.254183877999999,Sandymount (St. John's Church),40,1,224,223_224
Santry (Shanard Rd.),53.39066668,-6.257438452000001,Sandymount (St. John's Church),41,1,225,224_225
Santry (Shanard Rd.),53.39114056,-6.262200464,Sandymount (St. John's Church),42,1,226,225_226
Sandyford Business District,53.38637271,-6.274301663999999,Wadelai Park,1,11,6122,start
Sandyford Business District,53.38620679,-6.270910692999999,Wadelai Park,2,11,35,6122_35
Sandyford Business District,53.38612685,-6.26787707,Wadelai Park,3,11,36,35_36
Sandyford Business District,53.3853464,-6.264886981,Wadelai Park,4,11,37,36_37
Sandyford Business District,53.38223659,-6.265509521,Wadelai Park,5,11,38,37_38
Sandyford Business District,53.38041419,-6.265658759,Wadelai Park,6,11,39,38_39
Sandyford Business District,53.37666077,-6.264668969,Wadelai Park,7,11,40,39_40
Sandyford Business District,53.37555927,-6.261858006000001,Wadelai Park,8,11,41,40_41
Sandyford Business District,53.37465027,-6.25746119,Wadelai Park,9,11,42,41_42
Sandyford Business District,53.37386122,-6.25390131,Wadelai Park,10,11,43,42_43
Sandyford Business District,53.37301741,-6.252132303,Wadelai Park,11,11,44,43_44
Sandyford Business District,53.37157673,-6.253183204,Wadelai Park,12,11,7603,44_7603
Sandyford Business District,53.36999011,-6.254089717,Wadelai Park,13,11,45,7603_45
Sandyford Business District,53.36715074,-6.2553779689999995,Wadelai Park,14,11,46,45_46
Sandyford Business District,53.36391612,-6.257298257,Wadelai Park,15,11,47,46_47
Sandyford Business District,53.36232903,-6.258790465,Wadelai Park,16,11,48,47_48
Sandyford Business District,53.36003184,-6.260897458,Wadelai Park,17,11,49,48_49
Sandyford Business District,53.35798985,-6.263249251,Wadelai Park,18,11,51,49_51
Sandyford Business District,53.35679465,-6.2644997479999995,Wadelai Park,19,11,52,51_52
Sandyford Business District,53.35405628,-6.262853361,Wadelai Park,20,11,261,52_261
Sandyford Business District,53.34859636,-6.25948542,Wadelai Park,21,11,271,261_271
Sandyford Business District,53.34271833,-6.256420742,Wadelai Park,22,11,404,271_404
Sandyford Business District,53.3399308,-6.255723519,Wadelai Park,23,11,747,404_747
Sandyford Business District,53.33725198,-6.256313389,Wadelai Park,24,11,842,747_842
Sandyford Business District,53.33545345,-6.256251617999999,Wadelai Park,25,11,845,842_845
Sandyford Business District,53.33345373,-6.2541109079999995,Wadelai Park,26,11,846,845_846
Sandyford Business District,53.33160145,-6.25221962,Wadelai Park,27,11,847,846_847
Sandyford Business District,53.32972799,-6.248887998,Wadelai Park,28,11,848,847_848
Sandyford Business District,53.32789827,-6.247927009,Wadelai Park,29,11,849,848_849
Sandyford Business District,53.32608574,-6.2511990310000005,Wadelai Park,30,11,850,849_850
Sandyford Business District,53.32509971,-6.253221016,Wadelai Park,31,11,851,850_851
Sandyford Business District,53.32442927,-6.252858085,Wadelai Park,32,11,852,851_852
Sandyford Business District,53.32259277,-6.248369577,Wadelai Park,33,11,853,852_853
Sandyford Business District,53.32163167,-6.246577563,Wadelai Park,34,11,854,853_854
Sandyford Business District,53.31930229999999,-6.242815366,Wadelai Park,35,11,855,854_855
Sandyford Business District,53.31765511,-6.24082668,Wadelai Park,36,11,856,855_856
Sandyford Business District,53.31656738,-6.23837983,Wadelai Park,37,11,857,856_857
Sandyford Business District,53.31409447,-6.238301572,Wadelai Park,38,11,858,857_858
Sandyford Business District,53.31184114,-6.238484419,Wadelai Park,39,11,859,858_859
Sandyford Business District,53.30818685,-6.236924124,Wadelai Park,40,11,860,859_860
Sandyford Business District,53.30517043,-6.23595301,Wadelai Park,41,11,861,860_861
Sandyford Business District,53.30360798,-6.234231824,Wadelai Park,42,11,862,861_862
Sandyford Business District,53.30014894,-6.233114227000001,Wadelai Park,43,11,3014,862_3014
Sandyford Business District,53.29846863,-6.23375372,Wadelai Park,44,11,3015,3014_3015
Sandyford Business District,53.29642898,-6.2331927810000005,Wadelai Park,45,11,3016,3015_3016
Sandyford Business District,53.29433993,-6.231118751,Wadelai Park,46,11,3017,3016_3017
Sandyford Business District,53.29202026,-6.228649435,Wadelai Park,47,11,3018,3017_3018
Sandyford Business District,53.29026699,-6.2274019460000005,Wadelai Park,48,11,3019,3018_3019
Sandyford Business District,53.28919741,-6.22498623,Wadelai Park,49,11,3020,3019_3020
Sandyford Business District,53.28908025,-6.221346096,Wadelai Park,50,11,3021,3020_3021
Sandyford Business District,53.2888451,-6.217035895,Wadelai Park,51,11,3022,3021_3022
Sandyford Business District,53.28894125,-6.2150519,Wadelai Park,52,11,441,3022_441
Sandyford Business District,53.28921027,-6.212010676,Wadelai Park,53,11,442,441_442
Sandyford Business District,53.2891298,-6.209044034,Wadelai Park,54,11,443,442_443
Sandyford Business District,53.28813647,-6.20754062,Wadelai Park,55,11,444,443_444
Sandyford Business District,53.28568853,-6.208528028,Wadelai Park,56,11,445,444_445
Sandyford Business District,53.283178799999995,-6.208992975,Wadelai Park,57,11,4779,445_4779
Sandyford Business District,53.2801061,-6.210276235,Wadelai Park,58,11,7057,4779_7057
Sandyford Business District,53.27981511,-6.213047797000001,Wadelai Park,59,11,4847,7057_4847
Sandyford Business District,53.27781391,-6.218064987000001,Wadelai Park,60,11,4848,4847_4848
Wadelai Park,53.27630688,-6.217063002000001,Sandyford Business District,1,11,449,start
Wadelai Park,53.27509405,-6.213499669,Sandyford Business District,2,11,450,449_450
Wadelai Park,53.27673392,-6.207777903999999,Sandyford Business District,3,11,3181,450_3181
Wadelai Park,53.2783061,-6.207727113,Sandyford Business District,4,11,451,3181_451
Wadelai Park,53.28021817,-6.2105564929999995,Sandyford Business District,5,11,447,451_447
Wadelai Park,53.28357696,-6.209171297,Sandyford Business District,6,11,5045,447_5045
Wadelai Park,53.28728248,-6.208131348999999,Sandyford Business District,7,11,4460,5045_4460
Wadelai Park,53.28858628,-6.207566787999999,Sandyford Business District,8,11,453,4460_453
Wadelai Park,53.28911613,-6.209929607,Sandyford Business District,9,11,454,453_454
Wadelai Park,53.28906431,-6.212466772000001,Sandyford Business District,10,11,4475,454_4475
Wadelai Park,53.28878713,-6.217968302,Sandyford Business District,11,11,3023,4475_3023
Wadelai Park,53.28897599,-6.222190423,Sandyford Business District,12,11,3024,3023_3024
Wadelai Park,53.28900152,-6.2257143489999995,Sandyford Business District,13,11,3025,3024_3025
Wadelai Park,53.29085058,-6.227962805,Sandyford Business District,14,11,3026,3025_3026
Wadelai Park,53.29219672,-6.22903216,Sandyford Business District,15,11,3027,3026_3027
Wadelai Park,53.29470702,-6.231628647999999,Sandyford Business District,16,11,3028,3027_3028
Wadelai Park,53.29630433,-6.233272938,Sandyford Business District,17,11,3029,3028_3029
Wadelai Park,53.29915719,-6.233515255,Sandyford Business District,18,11,3030,3029_3030
Wadelai Park,53.30142217,-6.233511786,Sandyford Business District,19,11,3031,3030_3031
Wadelai Park,53.30447299,-6.2355916239999996,Sandyford Business District,20,11,875,3031_875
Wadelai Park,53.30522322,-6.237091259,Sandyford Business District,21,11,876,875_876
Wadelai Park,53.30815336,-6.237090577000001,Sandyford Business District,22,11,878,876_878
Wadelai Park,53.3095042,-6.23787531,Sandyford Business District,23,11,879,878_879
Wadelai Park,53.31231378,-6.2388401589999996,Sandyford Business District,24,11,880,879_880
Wadelai Park,53.31456357,-6.238417332,Sandyford Business District,25,11,881,880_881
Wadelai Park,53.31670466,-6.239154676,Sandyford Business District,26,11,882,881_882
Wadelai Park,53.31768516,-6.2410355829999995,Sandyford Business District,27,11,883,882_883
Wadelai Park,53.31999699,-6.244212844,Sandyford Business District,28,11,884,883_884
Wadelai Park,53.32125897,-6.246292621,Sandyford Business District,29,11,885,884_885
Wadelai Park,53.32259739999999,-6.248684633,Sandyford Business District,30,11,886,885_886
Wadelai Park,53.32420775,-6.252461807,Sandyford Business District,31,11,887,886_887
Wadelai Park,53.32558343,-6.252495657000001,Sandyford Business District,32,11,903,887_903
Wadelai Park,53.32741744,-6.2488475160000005,Sandyford Business District,33,11,904,903_904
Wadelai Park,53.32881077,-6.247634377000001,Sandyford Business District,34,11,906,904_906
Wadelai Park,53.32971936,-6.250750109,Sandyford Business District,35,11,907,906_907
Wadelai Park,53.33115429,-6.252373034,Sandyford Business District,36,11,908,907_908
Wadelai Park,53.33314766,-6.254078364,Sandyford Business District,37,11,909,908_909
Wadelai Park,53.33514671,-6.256174036,Sandyford Business District,38,11,786,909_786
Wadelai Park,53.34085979,-6.2584038689999995,Sandyford Business District,39,11,793,786_793
Wadelai Park,53.3455466,-6.259294247000001,Sandyford Business District,40,11,320,793_320
Wadelai Park,53.35135317,-6.261160681000001,Sandyford Business District,41,11,278,320_278
Wadelai Park,53.3533921,-6.2653891239999995,Sandyford Business District,42,11,10,278_10
Wadelai Park,53.35680494,-6.264589471,Sandyford Business District,43,11,12,10_12
